2014-03-29 06:37:46,640 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pseudocoloring:com.pseudocoloring:0.0.1-SNAPSHOT @ E:\Pseudo-coloring\com.pseudocoloring\pom.xml.
2014-03-29 06:37:47,685 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.pseudocoloring/src/main/java
2014-03-29 06:37:47,685 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.pseudocoloring/src/main/resources
2014-03-29 06:37:47,685 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /com.pseudocoloring/src/test/java
2014-03-29 06:37:47,685 [Worker-3] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /com.pseudocoloring/src/test/resources
2014-03-29 06:37:47,966 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pseudocoloring:com.pseudocoloring:0.0.1-SNAPSHOT @ E:\Pseudo-coloring\com.pseudocoloring\pom.xml.
2014-03-29 06:37:48,761 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.pseudocoloring:com.pseudocoloring:0.0.1-SNAPSHOT @ E:\Pseudo-coloring\com.pseudocoloring\pom.xml.
2014-03-29 06:37:48,824 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 06:37:48,824 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2014-03-29 06:37:48,824 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-29 06:37:48,824 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
